,time,speed,wind,x,y,
245,122.5,0.121705286526,0.0,248.680444638,98.8478567607,
246,123.0,0.120209464397,0.0,248.735889995,98.838325035,
247,123.5,0.118814187439,0.0,248.797123217,98.8281279516,
248,124.0,0.11811741449,0.0,248.855228911,98.8189522606,
249,124.5,0.119782662528,0.0,248.9163445,98.8088243521,
250,125.0,0.121623097963,0.0,248.971401832,98.7992638666,
251,125.5,0.120442023777,0.0,249.033879181,98.7889353968,
252,126.0,0.11970640398,0.0,249.093196805,98.778652838,
253,126.5,0.1211344094,0.0,249.152358921,98.7682152669,
254,127.0,0.121521414734,0.0,249.214504525,98.7567694636,
255,127.5,0.122375602295,0.0,249.269906638,98.7467879808,
256,128.0,0.122515703657,0.0,249.335089879,98.7351631459,
257,128.5,0.120247146917,0.0,249.392435342,98.7245087042,
258,129.0,0.120359074189,0.0,249.453810243,98.7128145974,
259,129.5,0.121274246683,0.0,249.508429976,98.7026609209,
260,130.0,0.121545429162,0.0,249.570819086,98.6911432403,
261,130.5,0.122587245046,0.0,249.631312908,98.6797702186,
262,131.0,0.121816415184,0.0,249.693869491,98.6669433386,
263,131.5,0.12087644104,0.0,249.748648328,98.656114236,
264,132.0,0.122590596061,0.0,249.808426195,98.6443458426,
265,132.5,0.124709961206,0.0,249.871442404,98.6313658266,
266,133.0,0.12362640477,0.0,249.9321417,98.6183925652,
267,133.5,0.123131608401,0.0,249.994961345,98.6056324075,
268,134.0,0.123053660929,0.0,250.050286869,98.5940106969,
269,134.5,0.124044833617,0.0,250.113242117,98.5803340409,
270,135.0,0.125549124028,0.0,250.174338448,98.5663169692,
271,135.5,0.124845893528,0.0,250.23794814,98.5518849845,
272,136.0,0.123477488475,0.0,250.29376239,98.539648037,
273,136.5,0.124470899118,0.0,250.356966242,98.5258996747,
274,137.0,0.126191748295,0.0,250.418001882,98.5112568716,
275,137.5,0.127108311016,0.0,250.482077433,98.4955428347,
276,138.0,0.127086775725,0.0,250.538865093,98.4816101868,
277,138.5,0.125666059688,0.0,250.600179607,98.4668758531,
278,139.0,0.124545863484,0.0,250.663391505,98.4517642231,
279,139.5,0.127449951391,0.0,250.724737389,98.4368532314,
280,140.0,0.129021979406,0.0,250.789389428,98.4194658552,
281,140.5,0.128028570245,0.0,250.84673745,98.403829795,
282,141.0,0.126875316166,0.0,250.910905816,98.3870983066,
283,141.5,0.12650929252,0.0,250.972226506,98.3716807207,
284,142.0,0.128694813113,0.0,251.03636018,98.3544855852,
285,142.5,0.130947033088,0.0,251.093883225,98.3379069437,
286,143.0,0.129382665277,0.0,251.161283919,98.3177925322,
287,143.5,0.127972166303,0.0,251.220767368,98.3013962711,
288,144.0,0.128969195212,0.0,251.280337426,98.2850537895,
289,144.5,0.131495676241,0.0,251.343133282,98.2664499875,
290,145.0,0.13228970167,0.0,251.408669752,98.2451232812,
291,145.5,0.131838136402,0.0,251.471672584,98.2251835199,
292,146.0,0.130453742702,0.0,251.536838855,98.2052402064,
293,146.5,0.131942683653,0.0,251.59489341,98.1874029376,
294,147.0,0.134579867911,0.0,251.658478079,98.1663870892,
295,147.5,0.134640199631,0.0,251.724661412,98.1434643663,
296,148.0,0.135206223593,0.0,251.788174533,98.120838314,
297,148.5,0.134898819777,0.0,251.85435783,98.097649873,
298,149.0,0.137805932114,0.0,251.913105909,98.0774338645,
